Timestamp,Regime de Contratação,Qual é seu gênero?,Em qual região do Brasil você mora?,Modelo de Atuação,Você cria ou dá manutenção em testes automatizados em seu trabalho?,Qual é o seu salário mensal bruto em Reais?,Qual é o seu cargo atualmente?,Qual é sua senioridade?,Você foi afetado pela onde de demissões em massa nos últimos 6 meses?,(Opcional) Quais informações você quer que eu extraia a partir dos dados que você forneceu?
2/9/2023 7:57:17,PJ,Masculino,Norte,Remoto,"Sim, mais de 8 horas por semama",42000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/10/2023 15:24:41,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),"Sim, mais de 8 horas por semama",39857,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/26/2023 12:53:06,CLT,Masculino,Sul,Presencial,Não,36000,Líder de Testes,Sênior,Não,
2/9/2023 6:41:54,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",36000,Analista de Qualidade (QA),Sênior,Não,
2/26/2023 15:36:19,Contrato,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",35000,Gerente de Qualidade (QA Manager),Especialista,Não,
2/20/2023 10:30:03,PJ,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",35000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/27/2023 11:43:26,PJ,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",35000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/11/2023 9:08:04,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),"Sim, entre 1 e 8 horas por semana",35000,Gerente de Qualidade (QA Manager),Especialista,Não,
2/23/2023 21:35:48,PJ,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",30000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/26/2023 12:20:10,PJ,Masculino,Sudeste,Remoto,Não,30000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/22/2023 19:29:37,Contrato,Feminino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",29000,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,
2/22/2023 7:37:11,PJ,Feminino,Sul,Remoto,Não,28000,Analista de Qualidade (QA),Sênior,Não,
2/9/2023 10:04:43,CLT,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",27700,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/26/2023 9:54:27,CLT,Masculino,Centro-Oeste,Remoto,Não,27000,Gerente de Testes,Sênior,Não,
2/16/2023 8:54:30,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",26000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,Fazer uma boa diferenciação entre quem trabalha com clientes internacionais ganhando em dolar de quem trabalha em projetos nacionais ganhando em reais
2/27/2023 4:39:57,PJ,Masculino,Sudeste,Remoto,Não,25000,Gerente de Testes,Sênior,Não,Qual tipo de sistema e área de atuação da empresa onde trabalha?
2/9/2023 7:46:30,CLT,Masculino,Sudeste,Remoto,Não,25000,Diretor de Qualidade (Head of QA),Especialista,Não,Gostaria que vc compartilhasse o resultado da pesquisa
2/27/2023 6:12:57,PJ,Masculino,Sudeste,Remoto,"Sim, mais de 8 horas por semama",25000,Engenheiro de Qualidade (QA Engineer),Especialista,Não,
2/28/2023 11:34:54,PJ,Masculino,Sudeste,Remoto,Não,25000,Gerente de Testes,Sênior,Sim,
2/9/2023 16:45:21,CLT,Masculino,Sudeste,Remoto,Não,24000,Líder de Testes,Especialista,Sim,
2/9/2023 9:29:13,CLT,Masculino,Nordeste,Remoto,"Sim, entre 1 e 8 horas por semana",23880,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/22/2023 9:29:24,CLT,Masculino,Sudeste,Híbrido (Presencial e Remoto),"Sim, mais de 8 horas por semama",23000,Gerente de Qualidade (QA Manager),Sênior,Não,
2/26/2023 8:39:11,PJ,Masculino,Centro-Oeste,Remoto,"Sim, mais de 8 horas por semama",23000,Líder de Testes,Sênior,Não,
2/11/2023 11:36:12,PJ,Masculino,Nordeste,Remoto,"Sim, mais de 8 horas por semama",22500,Engenheiro de Qualidade (QA Engineer),Sênior,Não,Diferença de salario entre os cargos para uma mesma senioridade (ex Senior)
2/27/2023 18:44:36,Contrato,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",22500,Engenheiro de Qualidade (QA Engineer),Sênior,Não,
2/9/2023 6:57:17,PJ,Masculino,Sul,Remoto,"Sim, mais de 8 horas por semama",22000,Engenheiro de Qualidade (QA Engineer),Sênior,Sim,"Acredito que, para as próximas, vale adicionar as perguntas sobre nível de inglês e se trabalha pra gringa ou não"
2/21/2023 11:42:03,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",22000,Engenheiro de Qualidade (QA Engineer),Sênior,Não,"Aprender inglês! Pode ser devagar, aos poucos, mas aprender!"
2/26/2023 21:06:48,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",22000,Analista de Testes,Sênior,Não,Pode extrair todas
2/27/2023 13:05:40,PJ,Masculino,Sudeste,Remoto,"Sim, entre 1 e 8 horas por semana",21000,Analista de Qualidade (QA),Sênior,Não,Trabalho em uma empresa de fora do Brasil 
